model_label,mean_final_steps,mean_final_reward
Hindsight bound,9.280555556,0.3696089944
Hindsight bound,9.283333333,0.3697483056
Hindsight bound,9.286111111,0.3698151639
Hindsight bound,9.288888889,0.369942525
Hindsight bound,9.291666667,0.3705098194
Hindsight bound,9.294444444,0.3708929917
Hindsight bound,9.297222222,0.3710330778
Hindsight bound,9.3,0.3713200722
Hindsight bound,9.302777778,0.3715271333
Hindsight bound,9.305555556,0.3716672194
Hindsight bound,9.308333333,0.3719542139
Hindsight bound,9.311111111,0.3720943
Hindsight bound,9.313888889,0.3722336111
Hindsight bound,9.316666667,0.3723004694
Hindsight bound,9.319444444,0.3724278306
Hindsight bound,9.322222222,0.3724946889
Hindsight bound,9.325,0.3725659278
Hindsight bound,9.327777778,0.3726327861
Hindsight bound,9.330555556,0.3726961139
Hindsight bound,9.333333333,0.3727522583
Hindsight bound,9.336111111,0.3728143194
Hindsight bound,9.338888889,0.3728704639
Hindsight bound,9.341666667,0.3729175167
Hindsight bound,9.344444444,0.3729808444
Hindsight bound,9.347222222,0.3730357222
Hindsight bound,9.35,0.37309905
Hindsight bound,9.352777778,0.3731396694
Hindsight bound,9.355555556,0.3733465806
Hindsight bound,9.358333333,0.3734866667
Hindsight bound,9.361111111,0.3737736611
Hindsight bound,9.363888889,0.3739807222
Hindsight bound,9.366666667,0.3741208083
Hindsight bound,9.369444444,0.3744078028
Hindsight bound,9.372222222,0.3745478889
Hindsight bound,9.375,0.3746872
Hindsight bound,9.377777778,0.3747540583
Hindsight bound,9.380555556,0.3748814194
Hindsight bound,9.383333333,0.3749781056
Hindsight bound,9.386111111,0.3750449639
Hindsight bound,9.388888889,0.375172325
Hindsight bound,9.391666667,0.3752391833
Hindsight bound,9.394444444,0.3753104222
Hindsight bound,9.397222222,0.3753772806
Hindsight bound,9.4,0.3754406083
Hindsight bound,9.402777778,0.3754967528
Hindsight bound,9.405555556,0.3755588139
Hindsight bound,9.408333333,0.3756149583
Hindsight bound,9.411111111,0.3756620111
Hindsight bound,9.413888889,0.3757253389
Hindsight bound,9.416666667,0.3757802167
Hindsight bound,9.419444444,0.3758435444
Hindsight bound,9.422222222,0.3758841639
Hindsight bound,9.425,0.376091075
Hindsight bound,9.427777778,0.3762311611
Hindsight bound,9.430555556,0.3765181556
Hindsight bound,9.433333333,0.3767252167
Hindsight bound,9.436111111,0.3768653028
Hindsight bound,9.438888889,0.3771522972
Hindsight bound,9.441666667,0.3772923833
Hindsight bound,9.444444444,0.3774316944
