model_label,mean_final_steps,mean_final_reward
Hindsight bound,8.589041096,0.5141324201
Hindsight bound,8.591780822,0.5143150685
Hindsight bound,8.594520548,0.5144977169
Hindsight bound,8.597260274,0.5146803653
Hindsight bound,8.6,0.5148630137
Hindsight bound,8.602739726,0.515
Hindsight bound,8.605479452,0.5152283105
Hindsight bound,8.608219178,0.5154109589
Hindsight bound,8.610958904,0.5155479452
Hindsight bound,8.61369863,0.5157762557
Hindsight bound,8.616438356,0.515913242
Hindsight bound,8.619178082,0.5160958904
Hindsight bound,8.621917808,0.5163242009
Hindsight bound,8.624657534,0.5164611872
Hindsight bound,8.62739726,0.5165981735
Hindsight bound,8.630136986,0.5167808219
Hindsight bound,8.632876712,0.5170091324
Hindsight bound,8.635616438,0.5171461187
Hindsight bound,8.638356164,0.517283105
Hindsight bound,8.64109589,0.5175114155
Hindsight bound,8.643835616,0.5176940639
Hindsight bound,8.646575342,0.5178310502
Hindsight bound,8.649315068,0.5180593607
Hindsight bound,8.652054795,0.518196347
Hindsight bound,8.654794521,0.5183789954
Hindsight bound,8.657534247,0.5185159817
Hindsight bound,8.660273973,0.5187442922
Hindsight bound,8.663013699,0.5188812785
Hindsight bound,8.665753425,0.5190639269
Hindsight bound,8.668493151,0.5192009132
Hindsight bound,8.671232877,0.5194292237
Hindsight bound,8.673972603,0.51956621
Hindsight bound,8.676712329,0.5197488584
Hindsight bound,8.679452055,0.5198858447
Hindsight bound,8.682191781,0.5201141553
Hindsight bound,8.684931507,0.5202511416
Hindsight bound,8.687671233,0.52043379
Hindsight bound,8.690410959,0.5205707763
Hindsight bound,8.693150685,0.5207990868
Hindsight bound,8.695890411,0.5209360731
Hindsight bound,8.698630137,0.5211187215
Hindsight bound,8.701369863,0.5212557078
Hindsight bound,8.704109589,0.5214840183
Hindsight bound,8.706849315,0.5216210046
Hindsight bound,8.709589041,0.521803653
Hindsight bound,8.712328767,0.5219406393
Hindsight bound,8.715068493,0.5221689498
Hindsight bound,8.717808219,0.5223059361
Hindsight bound,8.720547945,0.5224429224
Hindsight bound,8.723287671,0.5226255708
Hindsight bound,8.726027397,0.5228538813
Hindsight bound,8.728767123,0.5229908676
Hindsight bound,8.731506849,0.5230821918
Hindsight bound,8.734246575,0.5232191781
Hindsight bound,8.736986301,0.5235388128
Hindsight bound,8.739726027,0.52365296805
Hindsight bound,8.742465753,0.5237671233
Hindsight bound,8.745205479,0.5239041096
Hindsight bound,8.747945205,0.524086758
Hindsight bound,8.750684932,0.5242237443
Hindsight bound,8.753424658,0.5244520548
Hindsight bound,8.756164384,0.5246118721499999
Hindsight bound,8.75890411,0.5247716895
Hindsight bound,8.761643836,0.5249086758
Hindsight bound,8.764383562,0.525
Hindsight bound,8.767123288,0.5251369863
Hindsight bound,8.769863014,0.5253652968
Hindsight bound,8.77260274,0.525456621
Hindsight bound,8.775342466,0.5256849315
Hindsight bound,8.778082192,0.5258219178
Hindsight bound,8.780821918,0.5260045662
Hindsight bound,8.783561644,0.5261415525
Hindsight bound,8.78630137,0.5262785388
Hindsight bound,8.789041096,0.526369863
Hindsight bound,8.791780822,0.5265981735
Hindsight bound,8.794520548,0.5267351598
Hindsight bound,8.797260274,0.5269178082
Hindsight bound,8.8,0.5270547945
Hindsight bound,8.802739726,0.5271917808
Hindsight bound,8.805479452,0.5273744292
Hindsight bound,8.808219178,0.5275114155
Hindsight bound,8.810958904,0.5276484018
Hindsight bound,8.81369863,0.5278310502
Hindsight bound,8.816438356,0.5279680365
Hindsight bound,8.819178082,0.5280593607
Hindsight bound,8.821917808,0.5282876712
Hindsight bound,8.824657534,0.5284246575
Hindsight bound,8.82739726,0.5285616438
Hindsight bound,8.830136986,0.5287442922
Hindsight bound,8.832876712,0.5288812785
Hindsight bound,8.835616438,0.5289726027
Hindsight bound,8.838356164,0.5292009132
Hindsight bound,8.84109589,0.5292922374
Hindsight bound,8.843835616,0.5294292237
Hindsight bound,8.846575342,0.5296575342
Hindsight bound,8.849315068,0.5297945205
Hindsight bound,8.852054795,0.5298858447
Hindsight bound,8.854794521,0.5301141553
Hindsight bound,8.857534247,0.5302054795
Hindsight bound,8.860273973,0.5303424658
Hindsight bound,8.863013699,0.5304794521
Hindsight bound,8.865753425,0.5306621005
Hindsight bound,8.868493151,0.5307990868
Hindsight bound,8.871232877,0.5310273973
Hindsight bound,8.873972603,0.53109589045
Hindsight bound,8.876712329,0.5311643836
Hindsight bound,8.879452055,0.531347032
Hindsight bound,8.882191781,0.5315753425
Hindsight bound,8.884931507,0.5317123288
Hindsight bound,8.887671233,0.5318493151
Hindsight bound,8.890410959,0.5319406393
Hindsight bound,8.893150685,0.5320319635
Hindsight bound,8.895890411,0.532260274
Hindsight bound,8.898630137,0.5323972603
Hindsight bound,8.901369863,0.5325342466
Hindsight bound,8.904109589,0.5326712329
Hindsight bound,8.906849315,0.5327625571
Hindsight bound,8.909589041,0.5329452055
Hindsight bound,8.912328767,0.5330821918
Hindsight bound,8.915068493,0.5332191781
Hindsight bound,8.917808219,0.5333561644
Hindsight bound,8.920547945,0.5334931507
Hindsight bound,8.923287671,0.533630137
Hindsight bound,8.926027397,0.5337671233
Hindsight bound,8.928767123,0.5339041096
Hindsight bound,8.931506849,0.5340410959
Hindsight bound,8.934246575,0.5341780822
Hindsight bound,8.936986301,0.5343150685
Hindsight bound,8.939726027,0.5344520548
Hindsight bound,8.942465753,0.5345890411
Hindsight bound,8.945205479,0.5347260274
Hindsight bound,8.947945205,0.5348630137
Hindsight bound,8.950684932,0.535
Hindsight bound,8.953424658,0.5351369863
Hindsight bound,8.956164384,0.5352739726
Hindsight bound,8.95890411,0.5354109589
Hindsight bound,8.961643836,0.5355479452
Hindsight bound,8.964383562,0.5356392694
Hindsight bound,8.967123288,0.5358219178
Hindsight bound,8.969863014,0.5359589041
Hindsight bound,8.97260274,0.5360958904
Hindsight bound,8.975342466,0.5362328767
Hindsight bound,8.978082192,0.5363242009
Hindsight bound,8.980821918,0.5364611872
Hindsight bound,8.983561644,0.5366438356
Hindsight bound,8.98630137,0.5367808219
Hindsight bound,8.989041096,0.5369178082
Hindsight bound,8.991780822,0.5370091324
Hindsight bound,8.994520548,0.5371461187
Hindsight bound,8.997260274,0.5371917808
Hindsight bound,9.0,0.5374657534
Hindsight bound,9.002739726,0.5375570776
Hindsight bound,9.005479452,0.5376940639
Hindsight bound,9.008219178,0.5378310502
Hindsight bound,9.010958904,0.5379223744
Hindsight bound,9.01369863,0.5380136986
Hindsight bound,9.016438356,0.5381506849
Hindsight bound,9.019178082,0.5383789954
Hindsight bound,9.021917808,0.53844748855
Hindsight bound,9.024657534,0.5385159817
Hindsight bound,9.02739726,0.5386073059
Hindsight bound,9.030136986,0.5387442922
Hindsight bound,9.032876712,0.5389269406
Hindsight bound,9.035616438,0.5390639269
Hindsight bound,9.038356164,0.5391780821500001
Hindsight bound,9.04109589,0.5392922374
Hindsight bound,9.043835616,0.53936073055
Hindsight bound,9.046575342,0.5394292237
Hindsight bound,9.049315068,0.5396118721
Hindsight bound,9.052054795,0.5396575342
Hindsight bound,9.054794521,0.5398401826
Hindsight bound,9.057534247,0.5399771689
Hindsight bound,9.060273973,0.5400684932
Hindsight bound,9.063013699,0.5402054795
Hindsight bound,9.065753425,0.5402968037
Hindsight bound,9.068493151,0.54043379
Hindsight bound,9.071232877,0.5405251142
Hindsight bound,9.073972603,0.5406164384
Hindsight bound,9.076712329,0.5407534247
Hindsight bound,9.079452055,0.5409817352
Hindsight bound,9.082191781,0.54105022835
Hindsight bound,9.084931507,0.5411187215
Hindsight bound,9.087671233,0.5412100457
Hindsight bound,9.090410959,0.541347032
Hindsight bound,9.093150685,0.5415296804
Hindsight bound,9.095890411,0.5416666667
Hindsight bound,9.098630137,0.54178082195
Hindsight bound,9.101369863,0.5418949772
Hindsight bound,9.104109589,0.54196347035
Hindsight bound,9.106849315,0.5420319635
Hindsight bound,9.109589041,0.5422146119
Hindsight bound,9.112328767,0.542260274
Hindsight bound,9.115068493,0.5424429224
Hindsight bound,9.117808219,0.5425799087
Hindsight bound,9.120547945,0.54269406395
Hindsight bound,9.123287671,0.5428082192
Hindsight bound,9.126027397,0.54287671235
Hindsight bound,9.128767123,0.5429452055
Hindsight bound,9.131506849,0.5431278539
Hindsight bound,9.134246575,0.54324200915
Hindsight bound,9.136986301,0.5433561644
Hindsight bound,9.139726027,0.5434931507
Hindsight bound,9.142465753,0.54351598175
Hindsight bound,9.145205479,0.5435388128
Hindsight bound,9.147945205,0.5436757991
Hindsight bound,9.150684932,0.5438127854
Hindsight bound,9.153424658,0.5440410959
Hindsight bound,9.156164384,0.5441095890500001
Hindsight bound,9.15890411,0.5441780822
Hindsight bound,9.161643836,0.5442237443
Hindsight bound,9.164383562,0.5443150685
Hindsight bound,9.167123288,0.5444520548
Hindsight bound,9.169863014,0.5445890411
Hindsight bound,9.17260274,0.5447260274
Hindsight bound,9.175342466,0.54479452055
Hindsight bound,9.178082192,0.5448630137
Hindsight bound,9.180821918,0.5449543379
Hindsight bound,9.183561644,0.5451369863
Hindsight bound,9.18630137,0.54520547945
Hindsight bound,9.189041096,0.5452739726
Hindsight bound,9.191780822,0.5454109589
Hindsight bound,9.194520548,0.54547945205
Hindsight bound,9.197260274,0.5455479452
Hindsight bound,9.2,0.5456392694
Hindsight bound,9.202739726,0.5458219178
Hindsight bound,9.205479452,0.54589041095
Hindsight bound,9.208219178,0.5459589041
Hindsight bound,9.210958904,0.5460502283
Hindsight bound,9.21369863,0.5460958904
Hindsight bound,9.216438356,0.5462328767
Hindsight bound,9.219178082,0.5463242009
Hindsight bound,9.221917808,0.5465068493
Hindsight bound,9.224657534,0.54657534245
Hindsight bound,9.22739726,0.5466438356
Hindsight bound,9.230136986,0.5467351598
Hindsight bound,9.232876712,0.5467808219
Hindsight bound,9.235616438,0.5468721461
Hindsight bound,9.238356164,0.5469634703
Hindsight bound,9.24109589,0.5470547945
Hindsight bound,9.243835616,0.5471461187
Hindsight bound,9.246575342,0.5473287671
Hindsight bound,9.249315068,0.5474200913
Hindsight bound,9.252054795,0.5474885844625
Hindsight bound,9.254794521,0.5475570776
Hindsight bound,9.257534247,0.5475844749
Hindsight bound,9.260273973,0.5476940639
Hindsight bound,9.263013699,0.5477853881
Hindsight bound,9.265753425,0.5478767123
Hindsight bound,9.268493151,0.5480410959
Hindsight bound,9.271232877,0.5481415525
Hindsight bound,9.273972603,0.5482420091
Hindsight bound,9.276712329,0.5482694064
Hindsight bound,9.279452055,0.5483150685
Hindsight bound,9.282191781,0.5484063927
Hindsight bound,9.284931507,0.5484977169
Hindsight bound,9.287671233,0.5485890411
Hindsight bound,9.290410959,0.5486986301
Hindsight bound,9.293150685,0.5488630137
Hindsight bound,9.295890411,0.5489543379
Hindsight bound,9.298630137,0.54902283105
Hindsight bound,9.301369863,0.5490913242
Hindsight bound,9.304109589,0.54915981735
Hindsight bound,9.306849315,0.5492283105
Hindsight bound,9.309589041,0.5493196347
Hindsight bound,9.312328767,0.5494109589
Hindsight bound,9.315068493,0.5495022831
Hindsight bound,9.317808219,0.5495479452
Hindsight bound,9.320547945,0.5497762557
Hindsight bound,9.323287671,0.5498066971
Hindsight bound,9.326027397,0.5498371385
Hindsight bound,9.328767123,0.5498675799
Hindsight bound,9.331506849,0.5499589041
Hindsight bound,9.334246575,0.5500045662
Hindsight bound,9.336986301,0.5502328767
Hindsight bound,9.339726027,0.5503242009
Hindsight bound,9.345205479,0.5504611872
Hindsight bound,9.347945205,0.5504748858475
Hindsight bound,9.350684932,0.5504885845
Hindsight bound,9.353424658,0.5505525114
Hindsight bound,9.356164384,0.5507808219
Hindsight bound,9.35890411,0.55084931505
Hindsight bound,9.361643836,0.5509178082
Hindsight bound,9.364383562,0.5510091324
Hindsight bound,9.367123288,0.5510776255500001
Hindsight bound,9.369863014,0.5511461187
Hindsight bound,9.37260274,0.5512191781
Hindsight bound,9.375342466,0.5513105023
Hindsight bound,9.378082192,0.55138812785
Hindsight bound,9.380821918,0.5514657534
Hindsight bound,9.383561644,0.5515342465499999
Hindsight bound,9.38630137,0.5516027397
Hindsight bound,9.389041096,0.5516940639
Hindsight bound,9.391780822,0.5517671233
Hindsight bound,9.394520548,0.5518310502
Hindsight bound,9.397260274,0.5519041096
Hindsight bound,9.4,0.5519954338
Hindsight bound,9.402739726,0.5520730593500001
Hindsight bound,9.405479452,0.5521506849
Hindsight bound,9.408219178,0.55221917805
Hindsight bound,9.410958904,0.5522876712
Hindsight bound,9.41369863,0.5523789954
Hindsight bound,9.416438356,0.5524520548
Hindsight bound,9.419178082,0.5525205479499999
Hindsight bound,9.421917808,0.5525890411
Hindsight bound,9.424657534,0.5526803653
Hindsight bound,9.42739726,0.55275799085
Hindsight bound,9.430136986,0.5528356164
Hindsight bound,9.432876712,0.5528812785
Hindsight bound,9.435616438,0.5529269406
Hindsight bound,9.438356164,0.5529726027
Hindsight bound,9.44109589,0.5531369863
Hindsight bound,9.443835616,0.55320547945
Hindsight bound,9.446575342,0.5532739726
Hindsight bound,9.449315068,0.5533652968
Hindsight bound,9.452054795,0.5533744292016667
Hindsight bound,9.454794521,0.5533835616
Hindsight bound,9.457534247,0.5535205479
Hindsight bound,9.460273973,0.5536210045333333
Hindsight bound,9.463013699,0.5537214611666667
Hindsight bound,9.465753425,0.5538219178
Hindsight bound,9.468493151,0.5538675799
Hindsight bound,9.471232877,0.553913242
Hindsight bound,9.473972603,0.5539589041
Hindsight bound,9.476712329,0.5540502283
Hindsight bound,9.479452055,0.55405936075
Hindsight bound,9.482191781,0.5540684932
Hindsight bound,9.484931507,0.5540958904
Hindsight bound,9.487671233,0.5542054795
Hindsight bound,9.490410959,0.554369863
Hindsight bound,9.493150685,0.5545068493
Hindsight bound,9.495890411,0.5545372907
Hindsight bound,9.498630137,0.5545677321
Hindsight bound,9.501369863,0.5545981735
