model_label,mean_final_steps,mean_final_reward,policy,c_step,lambda_risk
Reservation,9.04945054945055,0.28755617307692316,policy2,0.002,0.3
Reservation,9.43956043956044,0.2958728461538463,policy2,0.005,0.04
Reservation,9.565934065934066,0.29865961813186825,policy2,0.005,0.03
Reservation,10.293956043956044,0.30514512912087927,policy2,0.005,0.02
Reservation,11.532967032967033,0.33244758241758243,policy2,0.005,0.01
Reservation,12.25,0.37067804945054955,policy1,0.005,1.0
Reservation,12.442307692307692,0.37263764835164837,policy2,0.002,0.08
Reservation,12.695054945054945,0.3728055961538461,policy2,0.002,0.05
Reservation,13.81868131868132,0.37286751098901094,policy2,0.001,0.08
Reservation,15.483516483516484,0.3755484945054944,policy2,0.001,0.07
Reservation,17.285714285714285,0.378944879120879,policy2,0.0001,0.2
Reservation,19.86813186813187,0.38448011263736265,policy2,5e-05,0.18
Reservation,22.304945054945055,0.3845577032967033,policy2,0.0005,0.12
Reservation,23.236263736263737,0.38493124450549454,policy2,0.001,0.05
Reservation,24.521978021978022,0.39051032967032967,policy2,0.0,0.18
Reservation,25.75824175824176,0.39069015109890115,policy2,0.001,0.03
Reservation,27.346153846153847,0.39315232142857137,policy2,0.0005,0.08
Reservation,27.964285714285715,0.3932000109890109,policy2,0.001,0.02
Reservation,28.576923076923077,0.39334011263736257,policy2,5e-05,0.12
Reservation,30.104395604395606,0.39560312912087914,policy2,0.001,0.01
Reservation,30.810439560439562,0.3959996868131868,policy2,0.0005,0.07
Reservation,31.39010989010989,0.3983372857142857,policy2,0.0001,0.09
Reservation,31.60989010989011,0.3983403970201578,common_support_interpolation,0.0001,0.09
