model_label,mean_final_steps,reward_gap_to_oracle
Support ZOIB,19.5,0.0
Support ZOIB,19.75,0.0
Support ZOIB,20.0,0.0
Scalar Head,8.25,-0.01444292237
Scalar Head,8.5,-0.03089954338
Scalar Head,8.75,-0.03738356164
Scalar Head,9.0,-0.04455251142
Scalar Head,9.25,-0.04673972603
Scalar Head,9.5,-0.04862100457
Scalar Head,9.75,-0.04526484018
Scalar Head,10.0,-0.04976255708
Scalar Head,10.25,-0.04882844097
Scalar Head,10.5,-0.04896542727
Scalar Head,10.75,-0.05016894977
Scalar Head,11.0,-0.05115068493
Scalar Head,11.25,-0.05099412916
Scalar Head,11.5,-0.04889367254
Scalar Head,11.75,-0.04786953686
Scalar Head,12.0,-0.04631702544
Scalar Head,12.25,-0.04366862361
Scalar Head,12.5,-0.04224396608
Scalar Head,12.75,-0.04224396608
Scalar Head,13.0,-0.03977821265
Scalar Head,13.25,-0.03909328115
Scalar Head,13.5,-0.03649054142
Scalar Head,13.75,-0.03333985649
Scalar Head,14.0,-0.02621656882
Scalar Head,14.25,-0.02530332681
Scalar Head,14.5,-0.02338551859
Scalar Head,14.75,-0.02009784736
Scalar Head,15.0,-0.01512067841
Scalar Head,15.25,-0.01238095238
Scalar Head,15.5,-0.01192433138
Scalar Head,15.75,-0.01032615786
Scalar Head,16.0,-0.007495107632
Scalar Head,16.25,-0.0071037182
Scalar Head,16.5,-0.004363992172
Scalar Head,16.75,-0.002765818656
Scalar Head,17.0,-0.002765818656
Scalar Head,17.25,-0.002765818656
Scalar Head,17.5,-0.002765818656
Scalar Head,17.75,-0.001826484018
Scalar Head,18.0,-0.0009132420091
Scalar Head,18.25,-0.0009132420091
Scalar Head,18.5,-0.0009132420091
Scalar Head,18.75,0.0
Scalar Head,19.0,0.0
Scalar Head,19.25,0.0
Scalar Head,19.5,0.0
Scalar Head,19.75,0.0
Scalar Head,20.0,0.0
Gaussian Head,8.25,-0.01860730594
Gaussian Head,8.5,-0.03080821918
Gaussian Head,8.75,-0.04183105023
Gaussian Head,9.0,-0.04450228311
Gaussian Head,9.25,-0.04261643836
Gaussian Head,9.5,-0.04440639269
Gaussian Head,9.75,-0.04716894977
Gaussian Head,10.0,-0.04470319635
Gaussian Head,10.25,-0.04516634051
Gaussian Head,10.5,-0.04516634051
Gaussian Head,10.75,-0.04386497065
Gaussian Head,11.0,-0.0420704501
Gaussian Head,11.25,-0.04223352903
Gaussian Head,11.5,-0.04328375734
Gaussian Head,11.75,-0.03997651663
Gaussian Head,12.0,-0.04107240705
Gaussian Head,12.25,-0.03992433138
Gaussian Head,12.5,-0.03840834964
Gaussian Head,12.75,-0.03580560992
Gaussian Head,13.0,-0.03512067841
Gaussian Head,13.25,-0.03069145466
